starting player,steps,win,loss,draw,file_name
0,74,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_22.pt
1,84,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_22.pt
0,74,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_0.pt
1,77,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_0.pt
0,72,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_5.pt
1,37,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_5.pt
0,80,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_4.pt
1,76,1,0,0,go_6_3vrstvy_high_LR_9_batches_exp_4.pt
0,74,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_33.pt
1,38,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_33.pt
0,70,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_21.pt
1,65,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_21.pt
0,72,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_1.pt
1,96,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_1.pt
0,52,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_28.pt
1,65,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_28.pt
0,48,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_6.pt
1,105,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_6.pt
0,48,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_0.pt
1,45,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_0.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_44.pt
1,89,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_44.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_15.pt
1,51,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_15.pt
0,42,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_23.pt
1,47,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_23.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_26.pt
1,72,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_26.pt
0,72,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_41.pt
1,82,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_41.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_6.pt
1,63,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_6.pt
0,124,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_16.pt
1,96,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_16.pt
0,74,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_46.pt
1,81,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_46.pt
0,42,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_12.pt
1,119,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_12.pt
0,42,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_24.pt
1,65,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_24.pt
0,50,1,0,0,go_6_3vrstvy_high_LR_8_batches_exp_2.pt
1,67,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_2.pt
0,76,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_7.pt
1,59,0,1,0,go_6_3vrstvy_high_LR_8_batches_exp_7.pt
0,106,0,1,0,go_6_3vrstvy_high_LR_9_batches_exp_22.pt
1,63,1,0,0,go_6_3vrstvy_high_LR_9_batches_exp_22.pt
0,70,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_45.pt
1,84,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_45.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_27.pt
1,88,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_27.pt
0,110,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_37.pt
1,49,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_37.pt
0,44,0,1,0,go_6_3vrstvy_high_LR_7_batches_exp_34.pt
1,82,1,0,0,go_6_3vrstvy_high_LR_7_batches_exp_34.pt
