starting player;steps;win;loss;draw;name;;;;
0;43;1;0;0;go_6_3vrstvy_high_LR_8_batches_exp_4.pt;;;;
1;84;1;0;0;go_6_3vrstvy_high_LR_8_batches_exp_4.pt;;;;
0;47;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_5.pt;;;;
1;88;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_5.pt;;;;
0;81;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_22.pt;;;;198
1;67;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_22.pt;;;;
0;80;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_43.pt;;;;
1;80;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_43.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_0.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_0.pt;;;;
0;75;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_27.pt;;;;
1;61;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_27.pt;;;;
0;41;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_20.pt;;;;
1;74;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_20.pt;;;;
0;43;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_48.pt;;;;
1;72;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_48.pt;;;;
0;65;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_36.pt;;;;
1;73;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_36.pt;;;;
0;57;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_32.pt;;;;
1;51;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_32.pt;;;;
0;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_3.pt;;;;
1;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_3.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_28.pt;;;;
1;47;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_28.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_5.pt;;;;
